"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"ENSG00000119878","ENSG00000119878",0.98494387962112,2.2043674700029,0.00474305761601945,0.429654508459904
"ENSG00000217128","ENSG00000217128",0.998197744961803,1.79450736952927,0.00474562803448009,0.429675178652829
"ENSG00000235415","ENSG00000235415",0.999952770451585,1.69927676688897,0.00474810241357215,0.429695076720826
"ENSG00000166889","ENSG00000166889",0.993190575456589,1.99695496184673,0.00475225364327991,0.429728459820372
"ENSG00000077312","ENSG00000077312",0.929178902222604,3.26653792955574,0.0220463437258814,0.429733313395832
"ENSG00000156469","ENSG00000156469",0.991993927343403,2.41148102918698,0.0220455730504293,0.42973951103437
"ENSG00000255561","ENSG00000255561",0.996121436579301,1.88188733610389,0.00475565731360372,0.429755831618482
"ENSG00000156574","ENSG00000156574",0.999911660535945,1.70268730784036,0.00475617776186432,0.429760017013855
"ENSG00000133119","ENSG00000133119",0.997251923320498,2.29760306439939,0.022042444842971,0.429764667714838
"ENSG00000269886","ENSG00000269886",0.999161711479774,1.74782217501888,0.00475980169345847,0.429789160545627
"ENSG00000137434","ENSG00000137434",0.999323213246066,1.7390251163445,0.00476039980970744,0.429793970612475
"ENSG00000103351","ENSG00000103351",0.988153819179107,2.14345279008112,0.00476098059634333,0.429798641324084
"ENSG00000162714","ENSG00000162714",0.997710967193902,2.28841325220071,0.0220365933851469,0.429811725223489
"ENSG00000176124","ENSG00000176124",0.989785257071064,2.44720654967927,0.0220363813697039,0.429813430273479
"ENSG00000237596","ENSG00000237596",0.999993744075518,1.69757470653325,0.00476497008525667,0.429830725234488
