"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Ctsl","Ctsl",0.609264381827559,5.32553033156756,0.453976837185503,2.00705814848359e-06
"Coch","Coch",0.893994092550049,3.18586654531133,0.449217706551702,2.56580975163225e-06
"Cubn","Cubn",0.962027008958417,2.82781902461732,0.448506763445794,2.66111758094372e-06
"Cxcl10","Cxcl10",0.919355734518189,3.01792190799726,0.443487945918221,3.43703303678599e-06
"Lamb1","Lamb1",0.753975594474446,4.00898878322726,0.437718379174968,4.5963702496796e-06
"Slc2a3","Slc2a3",0.621397808600925,5.04875931191986,0.433706740835204,5.61349712604973e-06
"Sbsn","Sbsn",0.909185720016045,3.01792190799726,0.433317931416076,5.72277304387844e-06
"Lgals1","Lgals1",0.642707877407699,4.86294724802092,0.433260467728958,5.73909459512482e-06
"Spink3","Spink3",0.98968540484786,2.60880924267552,0.429249656837929,6.99483831723772e-06
"Gbx2","Gbx2",0.938868832731649,2.82781902461732,0.425348587219026,8.46473632498737e-06
"Rn45s","Rn45s",0.327018719294181,7.19081236791614,0.423691929156073,9.17420212095655e-06
"Rhox5","Rhox5",0.93187077663612,2.82781902461732,0.418350531123497,1.18676815976329e-05
"F3","F3",0.893622141997593,3.01792190799726,0.417754353397625,1.22112059986766e-05
"Atf5","Atf5",0.930139525807396,2.82781902461732,0.416619280294773,1.28915667018447e-05
"P4ha2","P4ha2",0.923264209554194,2.82781902461732,0.409743964041571,1.78486121883852e-05
"Dusp1","Dusp1",0.725123302994864,4.00898878322726,0.408866087695386,1.8598672171251e-05
"Sin3b","Sin3b",0.763198341494799,3.71149490665009,0.404435100742167,2.28638470882074e-05
"Cited1","Cited1",0.818498692891821,3.33628338786443,0.399980515058783,2.80763218736002e-05
"Esx1","Esx1",0.96028880866426,2.60880924267552,0.39985306065433,2.82408699660768e-05
"Plac1","Plac1",0.959029468558475,2.60880924267552,0.398593720548545,2.9916574459094e-05
"Pth1r","Pth1r",0.95898916967509,2.60880924267552,0.39855342166516,2.99717212169526e-05
"Ndrg1","Ndrg1",0.957129963898917,2.60880924267552,0.396694215888987,3.26232120655911e-05
"Ckb","Ckb",0.754828519855596,3.71149490665009,0.396065279102963,3.35693504775877e-05
"Anxa2","Anxa2",0.650179344608634,4.46597446450407,0.393088905659088,3.84098973691184e-05
"Hmgn5","Hmgn5",0.836137795998287,3.18586654531133,0.391361409999939,4.15146525109392e-05
"Serpine1","Serpine1",0.865411917413702,3.01792190799726,0.389544128813733,4.50359549417398e-05
"Krt19","Krt19",0.763155015862597,3.59693514238723,0.386945865278459,5.05634697629718e-05
"Sparc","Sparc",0.529440371183644,5.42961596420174,0.386468614703907,5.16459904873282e-05
